15:40:51.492,X-gyro rate: 0.008 degrees/sec Y-gyro rate: 0.206 degrees/sec Z-gyro rate: -0.122 degrees/sec
15:40:51.586,X-mag field: 441.21 mG Y-mag field: 288.69 mG Z-mag field: 305.44 mG
15:40:51.680,Temperature is 25.4 degrees C
15:40:52.148,X-acceleration: -2.32 mg Y-acceleration: -51.51 mg Z-acceleration: 942.50 mg
15:40:52.242,X-gyro rate: 0.008 degrees/sec Y-gyro rate: -0.015 degrees/sec Z-gyro rate: -0.046 degrees/sec
15:40:52.329,X-mag field: 421.23 mG Y-mag field: 297.77 mG Z-mag field: 289.73 mG
15:40:52.424,Temperature is 25.4 degrees C
15:40:52.845,X-acceleration: -11.96 mg Y-acceleration: -58.78 mg Z-acceleration: 990.05 mg
15:40:52.986,X-gyro rate: 0.076 degrees/sec Y-gyro rate: -0.122 degrees/sec Z-gyro rate: -0.092 degrees/sec
15:40:53.080,X-mag field: 412.16 mG Y-mag field: 295.95 mG Z-mag field: 267.04 mG
15:40:53.127,Temperature is 25.5 degrees C
15:40:53.595,X-acceleration: 6.96 mg Y-acceleration: -25.33 mg Z-acceleration: 1003.48 mg
15:40:53.689,X-gyro rate: 0.084 degrees/sec Y-gyro rate: -0.114 degrees/sec Z-gyro rate: -0.008 degrees/sec
15:40:53.783,X-mag field: 421.23 mG Y-mag field: 297.77 mG Z-mag field: 324.64 mG
15:40:53.876,Temperature is 25.5 degrees C
15:40:54.345,X-acceleration: 0.00 mg Y-acceleration: -13.85 mg Z-acceleration: 930.60 mg
15:40:54.392,X-gyro rate: 0.015 degrees/sec Y-gyro rate: 0.183 degrees/sec Z-gyro rate: 0.137 degrees/sec
15:40:54.486,X-mag field: 413.97 mG Y-mag field: 286.88 mG Z-mag field: 265.30 mG
15:40:54.579,Temperature is 25.5 degrees C
15:40:55.048,X-acceleration: 5.55 mg Y-acceleration: -26.55 mg Z-acceleration: 914.31 mg
15:40:55.142,X-gyro rate: -0.076 degrees/sec Y-gyro rate: 0.267 degrees/sec Z-gyro rate: 0.038 degrees/sec
15:40:55.236,X-mag field: 423.05 mG Y-mag field: 288.69 mG Z-mag field: 284.50 mG
15:40:55.282,Temperature is 25.5 degrees C
15:40:55.751,X-acceleration: 1.89 mg Y-acceleration: -11.90 mg Z-acceleration: 916.81 mg
15:40:55.845,X-gyro rate: 0.473 degrees/sec Y-gyro rate: -0.008 degrees/sec Z-gyro rate: 0.008 degrees/sec
15:40:55.938,X-mag field: 415.79 mG Y-mag field: 303.22 mG Z-mag field: 274.03 mG
15:40:56.032,Temperature is 25.5 degrees C
15:40:56.501,X-acceleration: -1.46 mg Y-acceleration: -51.15 mg Z-acceleration: 901.49 mg
15:40:56.548,X-gyro rate: 0.275 degrees/sec Y-gyro rate: -0.092 degrees/sec Z-gyro rate: 0.008 degrees/sec
15:40:56.680,X-mag field: 437.58 mG Y-mag field: 288.69 mG Z-mag field: 305.44 mG
15:40:56.727,Temperature is 25.5 degrees C
15:40:57.215,X-acceleration: 5.00 mg Y-acceleration: -49.07 mg Z-acceleration: 900.88 mg
15:40:57.302,X-gyro rate: -0.046 degrees/sec Y-gyro rate: -0.008 degrees/sec Z-gyro rate: -0.038 degrees/sec
15:40:57.395,X-mag field: 412.16 mG Y-mag field: 292.32 mG Z-mag field: 267.04 mG
15:40:57.443,Temperature is 25.5 degrees C
15:40:57.959,X-acceleration: 4.27 mg Y-acceleration: -67.26 mg Z-acceleration: 962.83 mg
15:40:58.006,X-gyro rate: -0.130 degrees/sec Y-gyro rate: -0.145 degrees/sec Z-gyro rate: -0.053 degrees/sec
15:40:58.099,X-mag field: 417.60 mG Y-mag field: 283.24 mG Z-mag field: 303.70 mG
15:40:58.193,Temperature is 25.6 degrees C
15:40:58.662,X-acceleration: 12.82 mg Y-acceleration: -55.11 mg Z-acceleration: 1009.46 mg
15:40:58.755,X-gyro rate: 0.145 degrees/sec Y-gyro rate: -0.114 degrees/sec Z-gyro rate: 0.000 degrees/sec
15:40:58.849,X-mag field: 428.50 mG Y-mag field: 308.66 mG Z-mag field: 272.28 mG
15:40:58.896,Temperature is 25.5 degrees C
15:40:59.365,X-acceleration: 5.86 mg Y-acceleration: -23.68 mg Z-acceleration: 984.62 mg
15:40:59.468,X-gyro rate: 0.099 degrees/sec Y-gyro rate: 0.031 degrees/sec Z-gyro rate: -0.038 degrees/sec
15:40:59.563,X-mag field: 401.26 mG Y-mag field: 285.06 mG Z-mag field: 270.53 mG
15:40:59.657,Temperature is 25.5 degrees C
